,datadate,transaction_no,client_name,country,state,industry,credit_rating,product_category,start_date,end_date,currency,on_bs_amount_aud,off_bs_amount_aud,undrawn_amount_aud,watchlist_stage,department,anzsic_2006_division,anzsic_2006_subdivision,anzsic_2006_group,cpt_industry_classification,ho_industry_classification,product_type,loan_purpose,rating_category,credit_group,security_category,ppp_category,cre_category
10,2019-12-31,50-514-4397,Leffler LLC,NZ,QLD,Hotels/Resorts,20,Corporate Bond,2023-10-31,2025-04-20,RUB,26348038,5143285,34435933,Stage 1,SFD,B,B01,B01f,B,B01,Corporate Bond01,External Refinance,AA above,L,Mortgage,,hotel
11,2019-12-31,67-942-1903,"Feeney, Murray and Oberbrunner",GB,QLD,,03,Corporate Bond,2023-06-14,2025-04-21,IRR,34277724,37552465,14419157,,TFD,B,B06,B06e,B,F01,Corporate Bond05,External Refinance,No Rating,F,Pledge,ppp3,
12,2019-12-31,28-871-0536,Wolff-Wuckert,US,QLD,Biotechnology: Commercial Physical & Biological Resarch,15,Corporate Bond,2023-08-19,2025-07-28,PGK,21046365,46988393,33303381,,BNE,C,C05,C05b,C,A01,Corporate Bond03,General Purpose,BB above,W,Mortgage,ppp2,
13,2019-12-31,62-060-0965,Nitzsche-Gorczany,HK,QLD,,01,Loan,2022-11-05,2025-04-28,IDR,28603034,31006400,42932154,Stage 2,PER,A,A01,A01e,A,C01,Loan01,General Purpose,BB above,N,Guarantee,ppp4,office
14,2019-12-31,79-160-6520,Bauch-Braun,HK,TAS,Major Pharmaceuticals,19,Corporate Bond,2022-01-24,2025-07-06,JPY,7904315,45965605,35050820,Stage 2,TFD,A,A05,A05d,A,C01,Corporate Bond05,External Refinance,BB above,B,Mortgage,ppp4,
15,2019-12-31,59-868-0057,Swaniawski LLC,US,VIC,,16,Loan,2022-02-01,2024-12-12,IDR,7646447,33093458,43554168,,CBD,A,A03,A03d,A,C01,Loan03,General Purpose,AA above,S,Credit,ppp3,logistics
16,2019-12-31,27-562-9863,"Kohler, Leannon and Schiller",NZ,WA,Business Services,11,Loan,2020-07-16,2025-03-02,EUR,49235341,9075627,7011230,Stage 2,MEL,D,D03,D03f,D,C01,Loan03,Internal Refinance,BB above,K,Guarantee,ppp2,residential
17,2019-12-31,05-916-0249,"Hoppe, Waelchi and Thiel",US,QLD,,02,Corporate Bond,2020-09-12,2025-09-30,PLN,10026230,44432987,25445544,Stage 1,MEL,B,B04,B04f,B,D01,Corporate Bond03,General Purpose,BB above,H,Mortgage,ppp3,hotel
18,2019-12-31,74-002-2632,"Stiedemann, Bradtke and Cartwright",US,ACT,Paper,07,Loan,2023-11-19,2025-08-19,HRK,8727836,40261488,28064794,Stage 2,PER,E,E05,E05c,E,E01,Loan05,External Refinance,AA above,S,Guarantee,ppp2,office
19,2019-12-31,44-685-4415,Kozey Group,HK,QLD,Investment Bankers/Brokers/Service,05,Trade Finance,2020-02-24,2025-10-10,CNY,21112597,24425164,48853137,Stage 1,CBD,F,F06,F06e,F,F01,Trade Finance03,External Refinance,No Rating,K,Pledge,ppp4,residential
20,2019-12-31,54-639-0489,Ledner Group,CN,WA,Finance: Consumer Services,06,Loan,2020-09-26,2025-11-13,EGP,9588010,46815820,29923322,Stage 1,MEL,D,D04,D04c,D,E01,Loan06,General Purpose,AA above,L,Guarantee,ppp3,residential
21,2019-12-31,47-048-4881,Hessel-Runolfsson,HK,ACT,Other Consumer Services,21,Loan,2020-02-28,2025-01-25,EUR,12118527,48866279,20401135,Stage 1,BNE,B,B05,B05f,B,C01,Loan06,General Purpose,AA above,H,Credit,ppp1,
22,2019-12-31,14-372-9129,Schowalter-Hyatt,HK,NSW,Real Estate Investment Trusts,08,Trade Finance,2021-09-24,2025-11-21,PLN,43215750,12313955,24992804,,CBD,A,A03,A03a,A,C01,Trade Finance06,Internal Refinance,BB above,S,Credit,,residential
23,2019-12-31,60-632-7097,Grady LLC,CN,WA,Property-Casualty Insurers,04,Trade Finance,2020-02-03,2025-11-09,PHP,6282281,38595156,25066420,Stage 1,CBD,F,F06,F06f,F,F01,Trade Finance01,Internal Refinance,AA above,G,Mortgage,ppp4,hotel
24,2019-12-31,14-994-1456,"Orn, Reinger and Rice",HK,QLD,Agricultural Chemicals,11,Loan,2021-10-28,2025-10-26,EUR,47326878,25083196,42831207,,SFD,F,F05,F05e,F,A01,Loan06,External Refinance,No Rating,O,Credit,ppp3,office
25,2019-12-31,75-912-2840,Stiedemann LLC,AU,ACT,Industrial Machinery/Components,08,Corporate Bond,2022-01-28,2025-10-29,IDR,18943755,3241773,28208032,Stage 2,SFD,A,A03,A03c,A,C01,Corporate Bond05,Internal Refinance,No Rating,S,Mortgage,ppp4,residential
26,2019-12-31,40-222-9071,Carter Group,NZ,ACT,Major Banks,02,Trade Finance,2022-02-11,2025-10-21,CNY,24817991,26360429,27244396,Stage 1,CBD,B,B06,B06d,B,A01,Trade Finance04,General Purpose,No Rating,C,Pledge,ppp1,office
27,2019-12-31,52-271-2780,Carroll Inc,US,ACT,Precious Metals,21,Loan,2020-09-14,2025-04-22,SOS,16083833,43088430,6476980,,SFD,E,E05,E05f,E,A01,Loan06,Internal Refinance,AA above,C,Pledge,ppp4,hotel
28,2019-12-31,77-739-8477,Smitham Inc,CN,VIC,Television Services,03,Loan,2023-06-06,2025-08-07,IDR,29708523,41435868,24307137,,TFD,C,C06,C06f,C,F01,Loan01,External Refinance,BB above,S,Pledge,,logistics
29,2019-12-31,48-836-1212,Lang Group,HK,TAS,Major Banks,21,Loan,2020-10-30,2025-05-28,CNY,35336489,31469691,16351805,,MEL,C,C01,C01c,C,A01,Loan04,General Purpose,BB above,L,Mortgage,,residential
30,2019-12-31,23-174-2597,Homenick Group,HK,QLD,Power Generation,12,Trade Finance,2021-11-20,2025-02-20,SLL,13900838,1448400,28373997,Stage 1,CBD,C,C05,C05f,C,B01,Trade Finance06,General Purpose,AA above,H,Guarantee,ppp4,hotel
31,2019-12-31,53-384-1237,"Cronin, Dooley and Zulauf",GB,NSW,Oil & Gas Production,05,Trade Finance,2023-03-22,2025-04-25,CZK,49548089,46695900,11519830,Stage 2,TFD,F,F01,F01d,F,F01,Trade Finance04,Internal Refinance,No Rating,C,Pledge,ppp3,logistics
32,2019-12-31,42-212-7204,Maggio and Sons,GB,ACT,Major Banks,13,Corporate Bond,2023-01-25,2024-12-05,IDR,23021897,27767493,18044137,Stage 1,PER,A,A05,A05f,A,D01,Corporate Bond01,General Purpose,No Rating,M,Pledge,,hotel
33,2019-12-31,49-443-6230,Sanford Inc,US,NSW,,21,Corporate Bond,2021-06-14,2025-11-07,THB,14802376,21624986,8297210,Stage 2,SFD,E,E05,E05e,E,F01,Corporate Bond04,External Refinance,No Rating,S,Credit,ppp2,hotel
34,2019-12-31,85-337-7092,Durgan Group,HK,WA,EDP Services,08,Trade Finance,2023-11-23,2025-02-03,XOF,44946884,11216307,48879509,Stage 2,SFD,D,D01,D01f,D,C01,Trade Finance01,External Refinance,AA above,D,Pledge,ppp3,residential
35,2019-12-31,51-773-3683,"Quigley, Hamill and Schaefer",NZ,WA,General Bldg Contractors - Nonresidential Bldgs,18,Trade Finance,2020-11-06,2025-07-09,IRR,11447903,33346404,35716676,Stage 2,PER,B,B03,B03d,B,E01,Trade Finance01,Internal Refinance,No Rating,Q,Credit,ppp1,hotel
36,2019-12-31,92-597-7656,Herman Inc,HK,NSW,Industrial Machinery/Components,14,Trade Finance,2022-04-26,2025-06-20,MMK,23892451,35664857,8483650,Stage 1,MEL,A,A03,A03f,A,E01,Trade Finance01,Internal Refinance,BB above,H,Guarantee,ppp3,office
37,2019-12-31,64-983-8222,Collins-Jaskolski,AU,NSW,Diversified Commercial Services,05,Loan,2020-04-15,2024-12-31,CNY,28920713,33986114,29119765,Stage 1,PER,A,A02,A02c,A,C01,Loan04,General Purpose,BB above,C,Credit,ppp1,hotel
38,2019-12-31,31-396-7296,Ziemann-Schowalter,GB,VIC,Investment Managers,20,Loan,2022-12-17,2025-11-06,EUR,35195202,42642934,12132724,Stage 2,PER,F,F01,F01f,F,D01,Loan03,External Refinance,AA above,Z,Credit,ppp3,logistics
39,2019-12-31,77-124-4707,Romaguera Group,CN,QLD,,14,Loan,2023-06-01,2025-06-06,SYP,23588189,26134633,18696141,Stage 1,BNE,A,A02,A02b,A,C01,Loan06,External Refinance,AA above,R,Pledge,ppp1,residential
40,2019-12-31,92-061-7110,Jerde-Walter,AU,ACT,,15,Loan,2020-11-26,2025-03-03,ARS,14653912,48862662,14227114,Stage 2,BNE,A,A01,A01c,A,B01,Loan05,External Refinance,BB above,J,Pledge,,
41,2019-12-31,39-272-7412,Brekke Inc,HK,TAS,Forest Products,13,Loan,2020-07-21,2025-08-08,EUR,23603102,37829872,2424513,Stage 1,PER,A,A04,A04e,A,F01,Loan05,Internal Refinance,AA above,B,Mortgage,ppp2,hotel
42,2019-12-31,46-360-3915,Ferry-Weimann,GB,QLD,Agricultural Chemicals,16,Trade Finance,2020-06-22,2025-09-29,CNY,1974,38951328,21413763,,BNE,E,E05,E05c,E,E01,Trade Finance06,General Purpose,No Rating,F,Credit,ppp4,logistics
43,2019-12-31,87-490-1969,Kovacek LLC,US,QLD,Telecommunications Equipment,17,Corporate Bond,2021-01-13,2025-09-29,RUB,36069582,29393345,23932533,Stage 2,SFD,D,D06,D06d,D,C01,Corporate Bond05,General Purpose,AA above,K,Pledge,ppp3,hotel
44,2019-12-31,37-962-0389,Cruickshank and Sons,HK,VIC,Real Estate Investment Trusts,02,Corporate Bond,2022-03-12,2025-02-17,ARS,12812361,37291223,46469648,,BNE,C,C02,C02f,C,C01,Corporate Bond03,Internal Refinance,AA above,C,Pledge,ppp1,office
45,2019-12-31,42-266-2157,Rath-Koepp,CN,VIC,Professional Services,14,Loan,2021-03-28,2025-02-04,EUR,5222384,373195,24259070,Stage 1,CBD,E,E06,E06e,E,D01,Loan03,External Refinance,No Rating,R,Pledge,ppp2,residential
46,2019-12-31,47-548-9345,"O'Connell, Bayer and Kshlerin",NZ,VIC,,18,Loan,2021-11-15,2024-12-13,SLL,41821883,45980022,17144737,Stage 2,CBD,C,C03,C03e,C,B01,Loan06,General Purpose,No Rating,O,Mortgage,ppp1,office
47,2019-12-31,89-551-7040,"Jenkins, Boehm and Zboncak",NZ,WA,Semiconductors,03,Corporate Bond,2019-12-23,2025-05-06,NZD,27850596,39503986,13062980,Stage 1,CBD,B,B06,B06c,B,C01,Corporate Bond04,Internal Refinance,AA above,J,Pledge,ppp3,
48,2019-12-31,53-610-2116,Leuschke Group,AU,WA,,13,Corporate Bond,2022-10-26,2025-11-19,IDR,32816474,17417884,23327642,Stage 1,SFD,D,D02,D02d,D,A01,Corporate Bond01,General Purpose,No Rating,L,Credit,ppp3,logistics
49,2019-12-31,08-924-5440,Kling Group,AU,ACT,Professional Services,16,Trade Finance,2022-08-24,2025-02-01,MXN,7541835,22802810,25495423,Stage 2,SFD,F,F04,F04b,F,D01,Trade Finance02,Internal Refinance,BB above,K,Mortgage,ppp4,
50,2020-01-31,81-572-1966,Mayert-Kuvalis,HK,WA,Computer peripheral equipment,03,Corporate Bond,2021-06-28,2025-10-22,EUR,35879655,23051193,30796927,Stage 2,PER,D,D02,D02a,D,A01,Corporate Bond04,External Refinance,No Rating,M,Mortgage,ppp1,hotel
51,2020-01-31,71-579-9197,"Kozey, Collins and Doyle",CN,NSW,Oil & Gas Production,20,Loan,2019-12-02,2025-11-11,SEK,16709989,19734298,18904507,Stage 1,SFD,B,B01,B01d,B,F01,Loan05,External Refinance,AA above,K,Credit,ppp1,residential
52,2020-01-31,70-933-0447,Gibson-Jakubowski,GB,VIC,,18,Trade Finance,2021-12-21,2025-03-22,RUB,9518387,39680726,43927763,Stage 2,BNE,C,C05,C05d,C,E01,Trade Finance04,External Refinance,AA above,G,Credit,ppp3,office
53,2020-01-31,81-268-8579,Osinski-Muller,AU,ACT,Major Pharmaceuticals,19,Trade Finance,2023-07-20,2025-08-20,JPY,48077795,38084050,30580580,Stage 2,CBD,B,B01,B01d,B,C01,Trade Finance02,General Purpose,BB above,O,Pledge,ppp1,hotel
54,2020-01-31,71-495-6391,Hartmann LLC,US,ACT,,08,Loan,2023-10-01,2025-03-01,BRL,46580743,10965877,6689673,Stage 2,MEL,C,C01,C01f,C,C01,Loan02,General Purpose,BB above,H,Guarantee,ppp4,
55,2020-01-31,61-545-0380,"Cummerata, O'Reilly and McClure",HK,QLD,Television Services,17,Corporate Bond,2020-06-02,2025-08-05,KRW,25698215,42634213,13908639,,MEL,A,A06,A06f,A,C01,Corporate Bond06,Internal Refinance,No Rating,C,Credit,ppp1,hotel
56,2020-01-31,17-169-9274,"Walter, Friesen and Wolff",AU,VIC,Finance: Consumer Services,11,Corporate Bond,2020-06-05,2025-08-12,SEK,27180448,47831588,46316744,Stage 1,CBD,A,A02,A02a,A,F01,Corporate Bond01,General Purpose,BB above,W,Mortgage,ppp3,office
57,2020-01-31,15-649-9780,"Schamberger, Gutmann and Ernser",CN,QLD,Industrial Machinery/Components,10,Trade Finance,2021-02-08,2024-12-30,PLN,21028578,11329201,31337283,,SFD,C,C05,C05b,C,A01,Trade Finance01,General Purpose,BB above,S,Guarantee,ppp3,office
58,2020-01-31,18-180-3058,Paucek-Herzog,CN,VIC,Savings Institutions,05,Trade Finance,2022-05-12,2025-08-08,CNY,7940515,36636011,5981296,,CBD,B,B05,B05d,B,A01,Trade Finance02,Internal Refinance,No Rating,P,Credit,ppp4,logistics
59,2020-01-31,53-952-1705,"Runolfsdottir, Kohler and O'Hara",NZ,ACT,Marine Transportation,13,Trade Finance,2022-12-10,2025-07-30,IDR,31525174,13473364,37483304,Stage 2,PER,C,C05,C05a,C,D01,Trade Finance01,General Purpose,BB above,R,Mortgage,,residential
60,2020-01-31,68-119-3252,Cartwright Group,AU,VIC,Real Estate Investment Trusts,06,Loan,2020-05-28,2025-01-05,PHP,1546592,30060163,48484641,Stage 1,BNE,D,D02,D02b,D,D01,Loan05,Internal Refinance,AA above,C,Pledge,ppp2,residential
61,2020-01-31,97-305-0776,Jakubowski LLC,AU,ACT,,08,Loan,2019-12-22,2025-04-10,CNY,18738602,10388379,6416585,Stage 1,TFD,A,A01,A01b,A,C01,Loan05,External Refinance,AA above,J,Credit,ppp1,logistics
62,2020-01-31,11-447-7685,Welch-Runolfsson,NZ,QLD,Real Estate,08,Trade Finance,2023-11-20,2025-01-31,CNY,31789535,35979786,1224603,,BNE,A,A02,A02a,A,F01,Trade Finance03,Internal Refinance,No Rating,W,Credit,ppp3,hotel
63,2020-01-31,68-973-6392,Renner-McClure,GB,TAS,,01,Corporate Bond,2020-07-30,2025-06-17,EUR,33601997,42072185,37924077,,MEL,D,D06,D06e,D,F01,Corporate Bond02,External Refinance,BB above,R,Mortgage,,office
64,2020-01-31,66-093-3465,Pfeffer LLC,US,VIC,Major Pharmaceuticals,09,Trade Finance,2022-07-02,2024-12-25,IDR,22803272,46344796,21164432,Stage 1,BNE,C,C04,C04c,C,E01,Trade Finance05,General Purpose,No Rating,P,Guarantee,ppp3,hotel
65,2020-01-31,48-252-1033,Becker Inc,NZ,NSW,Real Estate Investment Trusts,05,Loan,2020-01-17,2024-12-27,EUR,20203007,42257228,23432870,Stage 2,BNE,E,E01,E01d,E,C01,Loan06,Internal Refinance,BB above,B,Mortgage,ppp4,hotel
66,2020-01-31,84-280-7985,"Rutherford, Ratke and Schmitt",GB,TAS,,12,Loan,2021-09-25,2025-09-28,IDR,38680,43985604,40463698,,MEL,B,B01,B01f,B,D01,Loan02,External Refinance,No Rating,R,Mortgage,,office
67,2020-01-31,70-576-8545,Spencer and Sons,CN,NSW,Real Estate Investment Trusts,15,Loan,2020-03-23,2025-09-07,NGN,7645038,12691288,37803989,,CBD,E,E03,E03c,E,A01,Loan01,General Purpose,No Rating,S,Pledge,ppp1,residential
68,2020-01-31,53-775-5391,"Bode, Wiegand and Lueilwitz",GB,TAS,Real Estate Investment Trusts,19,Loan,2019-12-20,2025-07-21,CNY,37053038,35781238,43797212,,PER,C,C01,C01e,C,D01,Loan02,Internal Refinance,No Rating,B,Mortgage,ppp3,office
69,2020-01-31,74-580-3390,Kunde-Flatley,HK,VIC,Business Services,01,Corporate Bond,2021-10-24,2025-07-28,CNY,49395429,19780121,36150251,Stage 1,CBD,F,F01,F01c,F,B01,Corporate Bond03,General Purpose,No Rating,K,Guarantee,ppp3,
70,2020-01-31,24-635-0640,"Ledner, Spinka and Windler",AU,TAS,,07,Corporate Bond,2020-06-25,2025-10-17,EUR,26068811,18529501,45297602,Stage 2,PER,D,D03,D03b,D,F01,Corporate Bond02,Internal Refinance,AA above,L,Credit,ppp2,logistics
71,2020-01-31,06-606-8642,Jacobi LLC,CN,ACT,,07,Corporate Bond,2023-07-12,2025-01-04,CNY,43675427,19947585,22073074,Stage 2,PER,B,B02,B02d,B,F01,Corporate Bond05,Internal Refinance,No Rating,J,Pledge,ppp3,hotel
72,2020-01-31,74-859-4632,Kuhic-Lemke,AU,VIC,Auto Manufacturing,10,Loan,2020-01-16,2025-11-07,PHP,32101277,19613291,16266780,Stage 1,PER,D,D03,D03d,D,B01,Loan05,External Refinance,BB above,K,Pledge,ppp1,logistics
73,2020-01-31,03-107-9046,Nitzsche Inc,AU,TAS,Telecommunications Equipment,05,Trade Finance,2022-12-16,2024-12-25,CNY,20330155,39184174,9789321,Stage 1,CBD,D,D04,D04b,D,B01,Trade Finance04,Internal Refinance,AA above,N,Guarantee,,hotel
74,2020-01-31,43-164-8327,Prosacco-Hane,AU,ACT,Specialty Insurers,13,Corporate Bond,2023-04-22,2025-07-08,USD,4114725,20616287,16938977,,MEL,E,E04,E04d,E,A01,Corporate Bond04,General Purpose,AA above,P,Mortgage,ppp2,hotel
75,2020-01-31,61-099-9820,"VonRueden, Kutch and Roberts",AU,QLD,,13,Corporate Bond,2021-10-14,2025-10-04,CNY,49171993,11704246,45282350,Stage 1,CBD,A,A02,A02c,A,A01,Corporate Bond01,General Purpose,No Rating,V,Mortgage,ppp3,logistics
76,2020-01-31,14-470-8546,"Wiegand, Wisoky and Cassin",GB,ACT,Property-Casualty Insurers,18,Corporate Bond,2022-02-08,2025-02-18,EUR,23022942,21691229,3497279,Stage 2,TFD,D,D01,D01f,D,D01,Corporate Bond01,General Purpose,No Rating,W,Pledge,ppp4,logistics
77,2020-01-31,44-090-7449,"Marks, Dietrich and Ledner",US,VIC,Railroads,09,Loan,2022-08-02,2025-09-10,EUR,22435138,11652130,44967417,,TFD,C,C06,C06e,C,D01,Loan06,External Refinance,BB above,M,Pledge,ppp3,residential
78,2020-01-31,32-276-8018,Will-Herman,US,VIC,Medical/Dental Instruments,07,Loan,2021-08-01,2025-04-10,RUB,16135001,11093025,21663337,Stage 1,MEL,F,F02,F02b,F,F01,Loan02,External Refinance,No Rating,W,Guarantee,ppp4,logistics
79,2020-01-31,52-155-4852,Gislason-Upton,AU,NSW,Savings Institutions,01,Loan,2021-08-05,2025-05-22,COP,48871486,35522188,36144515,Stage 1,PER,E,E02,E02d,E,A01,Loan03,External Refinance,AA above,G,Guarantee,ppp4,residential
80,2020-01-31,89-229-7597,Wiza-O'Conner,HK,TAS,Biotechnology: Commercial Physical & Biological Resarch,08,Corporate Bond,2022-07-03,2025-10-27,BRL,13399070,11681443,12779440,,SFD,E,E01,E01d,E,E01,Corporate Bond03,External Refinance,No Rating,W,Credit,ppp3,
81,2020-01-31,76-596-8141,Witting Inc,US,WA,,11,Trade Finance,2022-08-27,2025-01-21,MXN,42579340,32120835,29880836,Stage 2,MEL,C,C02,C02e,C,B01,Trade Finance05,External Refinance,No Rating,W,Credit,ppp3,residential
82,2020-01-31,22-791-5016,"Koelpin, Reichert and Ryan",NZ,NSW,Broadcasting,12,Loan,2022-01-22,2025-10-20,BRL,28384278,7735202,37811829,Stage 1,SFD,B,B05,B05d,B,C01,Loan03,External Refinance,AA above,K,Pledge,,hotel
83,2020-01-31,26-599-5409,Hodkiewicz Inc,AU,NSW,Major Pharmaceuticals,13,Loan,2020-11-07,2025-04-14,CNY,49961385,39882963,40134634,Stage 2,SFD,C,C06,C06d,C,A01,Loan06,General Purpose,AA above,H,Credit,,hotel
84,2020-01-31,88-432-0122,Oberbrunner Inc,NZ,NSW,Farming/Seeds/Milling,12,Loan,2021-12-06,2025-10-14,THB,2750294,21454857,47876347,Stage 2,PER,B,B02,B02c,B,F01,Loan04,Internal Refinance,No Rating,O,Mortgage,ppp1,office
85,2020-01-31,17-093-7406,"Volkman, Weber and Braun",HK,NSW,Restaurants,15,Loan,2020-02-29,2025-05-17,TZS,46439734,16632139,47607044,Stage 1,BNE,E,E02,E02e,E,D01,Loan01,General Purpose,BB above,V,Guarantee,ppp4,logistics
86,2020-01-31,93-890-8127,Kohler and Sons,GB,ACT,,20,Corporate Bond,2021-03-02,2025-04-15,IDR,17523583,46263640,35577198,Stage 1,TFD,E,E02,E02a,E,F01,Corporate Bond03,External Refinance,AA above,K,Credit,ppp4,office
87,2020-01-31,85-494-4332,"Vandervort, Doyle and Hamill",AU,NSW,EDP Services,04,Trade Finance,2022-06-10,2025-02-23,BRL,44748598,7017506,47480069,Stage 1,BNE,C,C04,C04f,C,E01,Trade Finance06,Internal Refinance,BB above,V,Mortgage,,hotel
88,2020-01-31,25-797-7186,Grady-Buckridge,US,QLD,Package Goods/Cosmetics,08,Trade Finance,2022-12-12,2025-05-12,RUB,9220590,879621,42209198,,CBD,F,F03,F03b,F,C01,Trade Finance01,Internal Refinance,AA above,G,Credit,ppp1,
89,2020-01-31,64-604-6783,Kemmer Inc,HK,ACT,Major Banks,14,Loan,2022-01-07,2025-02-17,EUR,2003119,25459048,13666137,Stage 1,CBD,A,A01,A01b,A,B01,Loan04,External Refinance,AA above,K,Pledge,ppp4,hotel
90,2020-01-31,61-200-9398,"Ortiz, Rowe and Hilll",HK,NSW,Telecommunications Equipment,01,Corporate Bond,2020-11-03,2025-10-25,PLN,44891479,49807135,46689245,Stage 2,SFD,D,D02,D02f,D,E01,Corporate Bond01,Internal Refinance,No Rating,O,Guarantee,ppp1,hotel
91,2020-01-31,14-549-2487,"Johnson, Barrows and Funk",GB,ACT,,05,Loan,2023-08-09,2025-07-14,TZS,18103606,6624949,38782316,,PER,F,F02,F02d,F,B01,Loan03,External Refinance,No Rating,J,Mortgage,,residential
92,2020-01-31,63-986-3083,"Leffler, Douglas and Fisher",AU,ACT,Restaurants,17,Trade Finance,2022-05-02,2025-10-05,THB,6945584,15274864,44450946,Stage 2,SFD,B,B03,B03b,B,A01,Trade Finance04,Internal Refinance,BB above,L,Pledge,ppp3,logistics
93,2020-01-31,39-942-8023,Lakin Inc,GB,ACT,Containers/Packaging,18,Trade Finance,2021-03-20,2025-07-20,CNY,29342648,43553419,35178697,Stage 1,BNE,C,C06,C06a,C,D01,Trade Finance01,General Purpose,No Rating,L,Pledge,ppp4,hotel
94,2020-01-31,87-003-1498,Klein Inc,AU,WA,Oil & Gas Production,18,Loan,2020-08-10,2024-12-03,IDR,8976264,28889163,24970608,Stage 1,MEL,D,D03,D03c,D,F01,Loan01,External Refinance,AA above,K,Credit,ppp4,
95,2020-01-31,08-405-1724,Gusikowski Inc,AU,WA,Medical/Dental Instruments,14,Trade Finance,2021-07-03,2025-10-08,RUB,7830849,39553298,11527288,Stage 2,TFD,B,B03,B03d,B,E01,Trade Finance02,General Purpose,AA above,G,Guarantee,ppp3,logistics
96,2020-01-31,44-308-6960,Reilly LLC,GB,TAS,Biotechnology: Electromedical & Electrotherapeutic Apparatus,12,Loan,2022-01-19,2025-03-07,XPF,47548228,1858491,4493974,,TFD,D,D05,D05b,D,D01,Loan02,General Purpose,BB above,R,Mortgage,ppp1,office
97,2020-01-31,43-436-4979,Murazik LLC,US,VIC,Steel/Iron Ore,16,Corporate Bond,2021-01-07,2025-04-26,COP,33187190,8756276,31456731,,PER,F,F01,F01a,F,C01,Corporate Bond02,External Refinance,No Rating,M,Credit,ppp1,residential
98,2020-01-31,53-472-2677,Satterfield Group,HK,VIC,Oil & Gas Production,21,Corporate Bond,2021-10-06,2025-09-11,XAF,8175014,45282300,837457,,SFD,D,D05,D05f,D,E01,Corporate Bond03,External Refinance,AA above,S,Credit,ppp3,hotel
99,2020-01-31,25-387-2003,Haley-Schuster,US,QLD,Oil/Gas Transmission,05,Loan,2023-08-21,2024-12-21,BRL,6816404,45418384,36485090,,MEL,B,B04,B04d,B,D01,Loan04,General Purpose,AA above,H,Credit,ppp2,logistics
